mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_71fcb1fe7d,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 58 - 93674.0 - Disjuntor Bipolar Tipo Dr, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",0.0,203.61,0.0
mc_b08e93302a,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 59 - 93675.0 - Disjuntor Bipolar Tipo Dr, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",0.0,218.53,0.0
mc_c4548415f9,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 60 - 101892.0 - Disjuntor Bipolar Tipo Nema, Corrente Nominal De 10 Até 50A - Fornecimento E Instalação. Af_07/2025",0.0,99.94,0.0
mc_24d95b0230,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 61 - 93653.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 10A - Fornecimento E Instalação. Af_07/2025",0.0,16.6,0.0
mc_9f5bd17e1c,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 62 - 93654.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 16A - Fornecimento E Instalação. Af_07/2025",0.0,16.6,0.0
mc_0b6ca9583b,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 63 - 93655.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 20A - Fornecimento E Instalação. Af_07/2025",0.0,17.96,0.0
mc_2117fd7dd5,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 64 - 93656.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",0.0,19.4,0.0
mc_829b07103f,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 65 - 93657.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 32A - Fornecimento E Instalação. Af_07/2025",0.0,21.72,0.0
mc_3c7071119c,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 66 - 93658.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",0.0,31.1,0.0
mc_c75e5b4fbe,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 67 - 93659.0 - Disjuntor Monopolar Tipo Din, Corrente Nominal De 50A - Fornecimento E Instalação. Af_07/2025",0.0,35.66,0.0
